input,total_mem,free_mem,pid_mem
1,131680096,70573520,142156.0
1,131680096,70577032,146252.0
1,131680096,70572624,150604.0
1,131680096,70686520,17408.0
1,131680096,70643496,60660.0
1,131680096,70644560,69080.0
1,131680096,70648636,73432.0
1,131680096,70648084,77528.0
1,131680096,70643120,79944.0
1,131680096,70641692,86088.0
1,131680096,70637016,90696.0
1,131680096,70635044,95048.0
1,131680096,70633172,99144.0
1,131680096,70632476,103752.0
1,131680096,70620804,108360.0
1,131680096,70619560,111944.0
1,131680096,70610604,116040.0
1,131680096,70602264,120648.0
1,131680096,70596392,124744.0
1,131680096,70584800,129352.0
1,131680096,70575496,133448.0
1,131680096,70577880,138056.0
1,131680096,70578428,142664.0
1,131680096,70576692,146760.0
1,131680096,70569000,150856.0
1,131680096,70682684,17920.0
1,131680096,70637764,59552.0
1,131680096,70627820,66460.0
1,131680096,70617992,70556.0
