InputSize,Threads,task_clock_msec,context_switches,cpu_migrations,page_faults,cycles,instructions,branches,branch_misses,time_elapsed_sec,user_time_sec,sys_time_sec
6000,64,40883.52,22764,1847,38219,81037225125,38542611889,1244318738,33445761,1.552596867,40.398338,0.468073
6000,64,37048.01,27239,1805,41328,73370584389,38584035981,1352138984,37190422,1.433734674,36.3869,0.645826
6000,128,44439.15,32777,1960,43230,88031612921,38676561545,1465072922,37504247,1.772154266,43.768088,0.660616
6000,128,44864.5,30520,1950,44775,88969645194,38628493712,1466075592,39089584,1.694205251,44.224878,0.622561
6000,128,41901.18,32269,1832,43187,82989345031,38807111138,1391422962,39080137,1.715160938,41.265233,0.623411
6000,128,39760.04,25036,1989,42609,78814376549,38249992728,1354452488,37042919,1.511627418,39.252011,0.490274
6000,128,42353.13,29933,1717,47127,83627189048,40477781545,1500770254,43787480,1.834066717,41.789676,0.557035
7000,1,38870.65,282548,315,52431,64137355813,52110143607,1589994815,59394778,29.538606916,33.38102,6.01988
7000,1,38806.6,282572,182,54781,63989578193,52214633952,1608376251,59662355,29.229327244,33.661193,5.61529
7000,1,38484.78,282209,251,52065,63521496609,52071137728,1582119965,57571956,29.246294273,33.129794,5.833702
7000,1,38697.48,282346,222,55393,63541522628,52112105430,1590540165,59289907,29.260834688,33.254123,5.928998
7000,1,38805.09,282616,180,55953,64016819577,52149148999,1598348146,59374823,29.436536169,33.392764,5.902637
7000,2,36518.93,148623,160,57971,64693858764,49872854749,1469273467,62251547,15.351136269,33.513783,3.281522
7000,2,36587.28,148668,243,54408,65387712399,50266588886,1360779373,56651554,15.625759208,33.750179,3.091049
7000,2,35842.53,148260,192,52109,63788497532,49020148636,1299228129,51123116,15.307411728,32.865789,3.247013
7000,2,34239.11,147257,189,49929,60464849437,51248252708,1385511424,59581760,14.412475373,31.230038,3.317602
7000,2,34935.27,146306,158,51915,62013233284,50582313406,1318591090,52543023,14.823576002,31.945463,3.256085
7000,4,33502.87,77467,171,48659,61825424208,50088901656,1239144432,53047694,7.655953278,31.820582,1.824482
7000,4,33874.12,77324,209,50698,62442747131,50097025792,1234914209,51389010,7.738140262,32.227639,1.783717
7000,4,34585.47,79860,175,53528,64334473032,48922555204,1293729264,59991647,7.957516558,32.929495,1.792792
7000,4,33412.34,80819,241,48623,62285902640,50119539205,1243066029,55920478,7.720215755,31.831151,1.718781
7000,4,34340.1,81109,148,49312,64038880477,48748325939,1260667513,55422438,7.920297667,32.714338,1.768288
7000,8,35451.57,53135,258,49639,66718282462,48350926583,1180989382,51956489,4.35706623,34.150011,1.390892
7000,8,35461.07,54719,156,50393,66626560589,48472766253,1206783048,54526045,4.329182382,34.167652,1.385568
7000,8,35065.01,54525,157,47890,65946642705,48614912434,1236941195,58046120,4.284623848,33.838547,1.315034
